KEYWORD,LINK,NAME,ADDRESS,PHONE NUMBER,WEBSITE,RATING,NO OF RATINGS,LINK TO PHOTO
New York NY,"https://www.google.com/maps/place/Best+Astrologer,Love+Spell+Specialist+Negative,Voodoo+Curse,Black+Magic+Removal,Ex+love+Back,Psychic+Reader+in+New+York/data=!4m7!3m6!1s0x89c25da01a438e09:0xbb3a64ce883559dc!8m2!3d40.6515934!4d-73.9312344!16s%2Fg%2F11w55_wz5w!19sChIJCY5DGqBdwokR3Fk1iM5kOrs?authuser=0&hl=en&rclk=1","Best Astrologer,Love Spell Specialist Negative,Voodoo Curse,Black Magic Removal,Ex love Back,Psychic Reader in New York","4902 Church Ave, Brooklyn, NY 11203",(917) 530-8485,bestastrologerkumar.com,5,112,https://lh5.googleusercontent.com/p/AF1QipOjJ_WLkr9Kt5_YC0h13CDlOhNiREc9IXjIAB0F=w408-h543-k-no
New York NY,https://www.google.com/maps/place/Psychic+in+New+York/data=!4m7!3m6!1s0x89c2597681c8834b:0x8cf873af8626694!8m2!3d40.7689789!4d-73.9634649!16s%2Fg%2F11h_wrwz6x!19sChIJS4PIgXZZwokRlGZi-DqHzwg?authuser=0&hl=en&rclk=1,Psychic in New York,"956 Lexington Ave, New York, NY 10021",(646) 994-0562,psychicinnewyork.com,4.9,65,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fg31sLL4yvmLruFmOwAmTg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.68668&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Psychic+Readings+by+Dallas/data=!4m7!3m6!1s0x89c2597a65c34697:0xff51d96ae4b0bbf0!8m2!3d40.7568556!4d-73.9774317!16s%2Fg%2F11h6m6qkrh!19sChIJl0bDZXpZwokR8Luw5GrZUf8?authuser=0&hl=en&rclk=1,Psychic Readings by Dallas,"8 E 48th St # 2E, New York, NY 10017",(917) 204-6606,psychicdallasny.com,5,74,https://lh5.googleusercontent.com/p/AF1QipPYAMBN6nRspxtny8kKAuK9lxj_KcduJ5l7u80O=w408-h404-k-no
New York NY,https://www.google.com/maps/place/Psychic+readings+and+horoscopes/data=!4m7!3m6!1s0x89c25852b433ffff:0x57c10993a073a895!8m2!3d40.7534539!4d-73.9672586!16s%2Fg%2F11hcw86vlf!19sChIJ__8ztFJYwokRlahzoJMJwVc?authuser=0&hl=en&rclk=1,Psychic readings and horoscopes,"344 E 49th St apt 1AB, New York, NY 10017",(973) 452-2945, ,4.8,197,https://lh5.googleusercontent.com/p/AF1QipPcZY2KUXAz239qKBbvAgkMMrMBTQaZgoOVsvXX=w426-h240-k-no
New York NY,https://www.google.com/maps/place/Psychic+readings+Love+and+relationships+expert/data=!4m7!3m6!1s0x89c3d57120c2e05d:0x23696964afd9308f!8m2!3d40.7341253!4d-73.9811019!16s%2Fg%2F11f5dgsvhl!19sChIJXeDCIHHVw4kRjzDZr2RpaSM?authuser=0&hl=en&rclk=1,Psychic readings Love and relationships expert,"351 E 18th St, New York, NY 10003",(718) 833-2055,thepsychicreadingslove.com,4.8,341,https://lh5.googleusercontent.com/p/AF1QipPdR47qOJNgS9HgimRaCRB2FJhGlZX6n9CxEXU=w408-h544-k-no
New York NY,https://www.google.com/maps/place/Psychic+Readings+by+Emma/data=!4m7!3m6!1s0x89c25913903e4e75:0x5158cbcec4fb5a3!8m2!3d40.7307144!4d-73.9845482!16s%2Fg%2F11krdsf5xr!19sChIJdU4-kBNZwokRo7VP7LyMFQU?authuser=0&hl=en&rclk=1,Psychic Readings by Emma,"327 E 12th St, New York, NY 10003",(917) 216-8202,psychicreadingsbyemma.com,4.8,111,https://lh5.googleusercontent.com/p/AF1QipOAbr57qNJaQQjEP1RIGpETV78RBlGUwEQatSvc=w408-h503-k-no
New York NY,https://www.google.com/maps/place/Psychic+Readings+by+Sharon/data=!4m7!3m6!1s0x67590a337a58c40d:0x19b0c052f0b3ebf8!8m2!3d40.7300831!4d-74.0038234!16s%2Fg%2F11sdp35gyq!19sChIJDcRYejMKWWcR-Ouz8FLAsBk?authuser=0&hl=en&rclk=1,Psychic Readings by Sharon,"45 Carmine St #1b, New York, NY 10014",(917) 771-9006,psychicreadingsbysharon.com,5,77,https://lh5.googleusercontent.com/p/AF1QipPT2PSPISAykA5p9VqPrBUns9ESq2lGSN793I1l=w408-h404-k-no
New York NY,https://www.google.com/maps/place/Sarah%E2%80%99s+Visions+NYC/data=!4m7!3m6!1s0x89c259dace702a2f:0x21898add205f57f2!8m2!3d40.7597901!4d-73.9837572!16s%2Fg%2F11jt6hx10t!19sChIJLypwztpZwokR8ldfIN2KiSE?authuser=0&hl=en&rclk=1,Sarah's Visions NYC,"167 W 48th St, New York, NY 10036",(732) 242-2821, ,4.8,288,https://lh5.googleusercontent.com/p/AF1QipNwuFTFjSaC47nz4KKPQ5APjht9AnhTV66CLnEl=w426-h240-k-no
New York NY,https://www.google.com/maps/place/Psychic+Readings+by+Michaela/data=!4m7!3m6!1s0x89c25df60699921f:0xd3ec03ce4867a10f!8m2!3d40.6809876!4d-73.8423625!16s%2Fg%2F11c54ccmb0!19sChIJH5KZBvZdwokRD6FnSM4D7NM?authuser=0&hl=en&rclk=1,Psychic Readings by Michaela,"103-64 97th St 2nd Fl, Ozone Park, NY 11417",(917) 723-3216,psychicmichaelany.com,4.9,516,https://lh5.googleusercontent.com/p/AF1QipN5J8q2NPWeLGFtZFeXmCUD0WkR2utcGTOWLnUQ=w408-h306-k-no
New York NY,https://www.google.com/maps/place/Psychic+mystical+garden+nyc/data=!4m7!3m6!1s0x89c259bda8cf19cb:0x75e21f587dfca917!8m2!3d40.7560975!4d-73.9659483!16s%2Fg%2F11k6t37s8m!19sChIJyxnPqL1ZwokRF6n8fVgf4nU?authuser=0&hl=en&rclk=1,Psychic mystical garden nyc,"332 E 53rd St apt 1 h, New York, NY 10022",(646) 338-6643,mysticalpsychicgardennyc.com,5,88,https://lh5.googleusercontent.com/p/AF1QipMiIhYh9JZaMSGjjEA4q9ACeMRA1qIi4Gzf76uO=w408-h408-k-no
