KEYWORD,LINK,NAME,ADDRESS,PHONE NUMBER,WEBSITE,RATING,NO OF RATINGS,LINK TO PHOTO
New York NY,https://www.google.com/maps/place/Health+Coach+Stacy+NYC/data=!4m7!3m6!1s0x89c25a1151a7d3a1:0x3fec8b364d26047b!8m2!3d40.7054423!4d-74.0128882!16s%2Fg%2F11gmy7p3nl!19sChIJodOnURFawokRewQmTTaL7D8?authuser=0&hl=en&rclk=1,Health Coach Stacy NYC,"26 Broadway, New York, NY 10004, United States",1 917-459-8431,healthcoachstacynyc.com,5,17,https://lh3.googleusercontent.com/gps-cs-s/AB5caB_vaZ-jcoim72tReJMZjs1fAeTF4RwV1Cc06J6p-_8QF9RzpDJpZfJ02eUr_ghVA2h4Eb0qnKenoNRMoUR_nzuOzrQDNQMf6SGu4NmJUpEKPxMLRclXpR_qFofqg-HevzsYV8c=w426-h240-k-no
New York NY,https://www.google.com/maps/place/The+Healthy+Weight+Loss+Coach+NYC/data=!4m7!3m6!1s0x89c25bc109e43bc9:0x4cde495042031197!8m2!3d40.7122637!4d-74.0091405!16s%2Fg%2F11h0spvx2v!19sChIJyTvkCcFbwokRlxEDQlBJ3kw?authuser=0&hl=en&rclk=1,The Healthy Weight Loss Coach NYC,"10 Barclay St, New York, NY 10007, United States", ,thehealthyweightlosscoach.com,5,30,https://lh3.googleusercontent.com/p/AF1QipNWorLAhwj0ZelnjTAeGXS11MoOOJpOTZnTEAA0=w408-h268-k-no
New York NY,https://www.google.com/maps/place/Health+Coach+Jameson/data=!4m7!3m6!1s0x89c259c146404575:0x956611b36e62a5b1!8m2!3d40.7512475!4d-73.9766164!16s%2Fg%2F11gszhk707!19sChIJdUVARsFZwokRsaVibrMRZpU?authuser=0&hl=en&rclk=1,Health Coach Jameson,"122 E 42nd St Suite 1604, New York, NY 10017, United States",1 646-504-9771,healthcoachjameson.com,5,2,https://lh3.googleusercontent.com/p/AF1QipNKzRGfpCdDu9ccL_93fvkbgR0EE8sC6dDSoTX0=w408-h280-k-no
New York NY,"https://www.google.com/maps/place/Holistic+%26+Root-Cause+Health+Coaching+%7C+Meg+Crockett,+NBC-HWC/data=!4m7!3m6!1s0x8644b51d2c6216d1:0x4837844b97aa9442!8m2!3d40.7729122!4d-73.9906177!16s%2Fg%2F11t8flvpjs!19sChIJ0RZiLB21RIYRQpSql0uEN0g?authuser=0&hl=en&rclk=1","Holistic & Root-Cause Health Coaching | Meg Crockett, NBC-HWC","21 W End Ave #1209, New York, NY 10023, United States", ,megcrocketthealth.com,5,2,https://lh3.googleusercontent.com/p/AF1QipOMKoHfLNzKO8XArd8kFpgYvNUWwYSUYTpZdBPg=w408-h544-k-no
New York NY,https://www.google.com/maps/place/New+York+Life+Coaching/data=!4m7!3m6!1s0x89c258848136e81b:0xb58bd886097e2ba8!8m2!3d40.7875423!4d-73.973111!16s%2Fg%2F1tdb9rkv!19sChIJG-g2gYRYwokRqCt-CYbYi7U?authuser=0&hl=en&rclk=1,New York Life Coaching,"136 W 87th St, New York, NY 10024, United States",1 646-789-5612,newyorklifecoaching.com,5,58,https://lh3.googleusercontent.com/p/AF1QipPX-1Po1H8X949Uu9hurbajh76g2CPHwjQfQ73O=w648-h240-k-no
New York NY,https://www.google.com/maps/place/Expert+Health+Coach/data=!4m7!3m6!1s0x89c25960ec701815:0x3355b809b8519ee3!8m2!3d40.6971415!4d-73.979506!16s%2Fg%2F11qpyptvgm!19sChIJFRhw7GBZwokR455RuAm4VTM?authuser=0&hl=en&rclk=1,Expert Health Coach, , , ,5,3,https://lh3.googleusercontent.com/p/AF1QipMK2cyBEUXMV3dPhbnDRO2DxH82YL1xBHYB68x_=w426-h240-k-no
New York NY,https://www.google.com/maps/place/Ruchi+Kumar+Health+Coach/data=!4m7!3m6!1s0x89c2590726a4cf77:0xd2701e1133ea7aee!8m2!3d40.7489112!4d-73.9803885!16s%2Fg%2F11h5q8n5_m!19sChIJd8-kJgdZwokR7nrqMxEecNI?authuser=0&hl=en&rclk=1,Ruchi Kumar Health Coach,"38 Park Ave, New York, NY 10016, United States", , ,4,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1mrn1idBIxBCUYxc8yDY_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.11893&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Wendy+Padob+Health+%26+Executive+Coach+-+WP+Creative+Wellness/data=!4m7!3m6!1s0x89c25950fd375dfd:0x2b28e160a8c91274!8m2!3d40.7464563!4d-73.9854409!16s%2Fg%2F11j2zwbv9q!19sChIJ_V03_VBZwokRdBLJqGDhKCs?authuser=0&hl=en&rclk=1,Wendy Padob Health & Executive Coach - WP Creative Wellness,"303 5th Ave Suite 1005, New York, NY 10016, United States",1 212-614-0366,wpcreativewellness.com,5,1,https://lh3.googleusercontent.com/p/AF1QipMbPxOvsOfGZeLfejkGjUaFxEl5FMbIcT91S9XH=w497-h240-k-no
New York NY,https://www.google.com/maps/place/Coach+AJ+-+Wholistic+Health+Coach/data=!4m7!3m6!1s0x89c2f7d329cfbb77:0x2f770be7f6b5b17c!8m2!3d40.8022405!4d-73.952914!16s%2Fg%2F11lzfwkjd0!19sChIJd7vPKdP3wokRfLG19ucLdy8?authuser=0&hl=en&rclk=1,Coach AJ - Wholistic Health Coach,"1893 Adam Clayton Powell Jr Blvd #3B, New York, NY 10026, United States",1 646-820-2775,nutrientshelp.com, , ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8pke7Z_y3yfab9JLQrPGoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.89144&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Right+Health+Coach/data=!4m7!3m6!1s0x89c259a226300b5b:0xaff7b14ad0583ad!8m2!3d40.7379223!4d-73.9891339!16s%2Fg%2F1td2154v!19sChIJWwswJqJZwokRrYMFrRR7_wo?authuser=0&hl=en&rclk=1,Right Health Coach,"40 E 19th St, New York, NY 10003, United States",1 917-737-1199,righthealthcoach.com, , ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Nldt4G3KfOl-e0ewQWdJhw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.65088&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/To+Thrive+Wellness/data=!4m7!3m6!1s0x89c259177b62f147:0xcf3c15a3cff28!8m2!3d40.7420086!4d-73.9861173!16s%2Fg%2F11swcvgrqg!19sChIJR_FiexdZwokRKP88WsHzDAA?authuser=0&hl=en&rclk=1,To Thrive Wellness,"45 E 25th St, New York, NY 10010, United States",1 646-770-2241, ,5,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7H4foLXSk3aI611fhQsIgA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=33.658382&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/FTV+Health+Coach/data=!4m7!3m6!1s0x89c25b6391a3ecdb:0x123ddd6d00960f3c!8m2!3d40.7100012!4d-73.9690503!16s%2Fg%2F11vc5zbg4g!19sChIJ2-yjkWNbwokRPA-WAG3dPRI?authuser=0&hl=en&rclk=1,FTV Health Coach,"420 Kent Ave, Brooklyn, NY 11249, United States",1 332-600-3505, ,5,6,https://lh3.googleusercontent.com/p/AF1QipMab2WcEMxovGOEucohJbgnV-vX7UIZa21RFIoH=w408-h544-k-no
New York NY,https://www.google.com/maps/place/Health+Coach+Chrissy/data=!4m7!3m6!1s0x89c259a791ec44a5:0xceb204fb9a112ee0!8m2!3d40.7577685!4d-73.9681993!16s%2Fg%2F11q_l7wzbn!19sChIJpUTskadZwokR4C4RmvsEss4?authuser=0&hl=en&rclk=1,Health Coach Chrissy,"220 E 54th St, New York, NY 10022, United States",1 646-606-3697, , , ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V5LgxrvGCvq5OUWkEgtSQQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=199.9092&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/One+Absolute+Vitality+Health+Coaching/data=!4m7!3m6!1s0x89c2f70c475189b1:0x36bee440ac49fce8!8m2!3d40.7942698!4d-73.9715381!16s%2Fg%2F11vqh4bs8r!19sChIJsYlRRwz3wokR6PxJrEDkvjY?authuser=0&hl=en&rclk=1,One Absolute Vitality Health Coaching,"214 W 96th St, New York, NY 10025, United States", ,oneabsolutevitality.com,5,4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0wS8bgTE6h6otMggQuOiLQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=125.866936&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Holistic+Health+And+Fitness+Coaching/data=!4m7!3m6!1s0x89c258b005eb0b2f:0xad95c6102941108f!8m2!3d40.7791563!4d-73.9473114!16s%2Fg%2F11c0vy0nq5!19sChIJLwvrBbBYwokRjxBBKRDGla0?authuser=0&hl=en&rclk=1,Holistic Health And Fitness Coaching,"1732 1st Ave., New York, NY 10128, United States",1 516-814-8043,holistichealthcoachingny.com,5,23,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=abb_Qh6Hb1rCd37FyEuzhg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=229.031&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/MindLAB+Neuroscience+-+Personal+%26+Professional+Life+Coaching/data=!4m7!3m6!1s0x89c2591cbb386441:0xe39dedca9c64cd92!8m2!3d40.7049014!4d-74.0072444!16s%2Fg%2F11gnsrq4dx!19sChIJQWQ4uxxZwokRks1knMrtneM?authuser=0&hl=en&rclk=1,MindLAB Neuroscience - Personal & Professional Life Coaching,"99 Wall St, New York, NY 10005, United States",1 646-470-6224,mindlabneuroscience.com,4.8,78,https://lh3.googleusercontent.com/p/AF1QipPlUbgdfTIn7d6rJ51ZJNMORAS7GxKMh8Zi_Mjh=w427-h240-k-no
New York NY,https://www.google.com/maps/place/The+%231+Coach+for+High+Achievers+-+Louise+Heite/data=!4m7!3m6!1s0x89c259d8654132b1:0xae99198a6d6e22c2!8m2!3d40.7374936!4d-73.9904242!16s%2Fg%2F11h718nmzk!19sChIJsTJBZdhZwokRwiJubYoZma4?authuser=0&hl=en&rclk=1,The #1 Coach for High Achievers - Louise Heite,"863 Broadway #3, New York, NY 10003, United States",1 917-463-7986, ,5,4,https://lh3.googleusercontent.com/p/AF1QipMOmWMfECpHrUdOH0dH0Y9s3-vd3w3330mRA7wr=w408-h272-k-no
New York NY,"https://www.google.com/maps/place/Health,+Health+%26+Health/data=!4m7!3m6!1s0x89c259ce24e77429:0xe4375dc786bcc73e!8m2!3d40.7897204!4d-73.9791691!16s%2Fg%2F11ftkw62cz!19sChIJKXTnJM5ZwokRPse8hsddN-Q?authuser=0&hl=en&rclk=1","Health, Health & Health","333 W 86th St Suite 1003, New York, NY 10024, United States",1 212-496-2735, , , ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GzGqly-8F_o5qe2nPI6Y-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=25.968914&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Michael+Haayen+Health%2BWellness+Coaching/data=!4m7!3m6!1s0xffcaa697103d7bf:0x32e01034304e734e!8m2!3d40.7813047!4d-73.9747275!16s%2Fg%2F11vsgrjvnv!19sChIJv9cDcWmq_A8RTnNOMDQQ4DI?authuser=0&hl=en&rclk=1,Michael Haayen Health+Wellness Coaching, ,1 714-213-3876,facebook.com,5,2, 
New York NY,https://www.google.com/maps/place/LENA+Health+Coaching/data=!4m7!3m6!1s0x89c26539ab903ecb:0x9855510a22e1f213!8m2!3d40.636775!4d-73.6918806!16s%2Fg%2F11fj5kr4sx!19sChIJyz6QqzllwokRE_LhIgpRVZg?authuser=0&hl=en&rclk=1,LENA Health Coaching,"Hewlett, NY 11557, United States",1 917-804-7579,lenahealthcoach.com,5,20,https://lh3.googleusercontent.com/p/AF1QipNmnO4PZ1IKG9QMctD9kUWgjmqXbRPW1K5-0Xgg=w408-h269-k-no
New York NY,https://www.google.com/maps/place/Cenegenics+New+York+City/data=!4m7!3m6!1s0x89c25a16ffc8f329:0x672efc279095ec66!8m2!3d40.762374!4d-73.973912!16s%2Fg%2F1q6jz57ll!19sChIJKfPI_xZawokRZuyVkCf8Lmc?authuser=0&hl=en&rclk=1,Cenegenics New York City,"725 5th Ave, New York, NY 10022, United States",1 212-419-5257,cenegenics.com,4.5,28,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lUcyJluyeB0bLMhvXGD93g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=355.71603&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Aesura+Health/data=!4m7!3m6!1s0x89c2fbd526ecce35:0xbbd05bddae8411b7!8m2!3d40.905824!4d-74.03038!16s%2Fg%2F11wtsgz7q0!19sChIJNc7sJtX7wokRtxGErt1b0Ls?authuser=0&hl=en&rclk=1,Aesura Health,"390 Hackensack Ave #262, Hackensack, NJ 07601, United States",1 201-983-2582,aesura.com,5,8,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wiIHRmF6cgN3CNWp_fs5og&cb_client=search.gws-prod.gps&w=408&h=240&yaw=83.80824&pitch=0&thumbfov=100
New York NY,https://www.google.com/maps/place/Heather+Sarit+Health+Coaching/data=!4m7!3m6!1s0x89c2f78bef03a563:0x547283d3c42073f5!8m2!3d40.6971415!4d-73.979506!16s%2Fg%2F11fvppq25c!19sChIJY6UD74v3wokR9XMgxNODclQ?authuser=0&hl=en&rclk=1,Heather Sarit Health Coaching, ,1 917-671-7549,heathersarit.com,5,2,https://lh3.googleusercontent.com/p/AF1QipNgWCG3jgLnz7OiZ2PusDtUQW-8cmzN8HrCbPy3=w408-h272-k-no
New York NY,https://www.google.com/maps/place/One+Body+One+World/data=!4m7!3m6!1s0x89c258f52dcdd843:0x5e110c3a7d88178a!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11f2s2x9f5!19sChIJQ9jNLfVYwokRiheIfToMEV4?authuser=0&hl=en&rclk=1,One Body One World, ,1 212-401-6947,onebodyoneworld.com,5,5,https://lh3.googleusercontent.com/p/AF1QipMmvVI3u4h6WsyNbEkUPBiF317FWao_9SkLPXyQ=w408-h408-k-no
